true_disease,predicted_disease,error_count
acanthosis nigricans,papilomatosis confluentes and reticulate,1
acanthosis nigricans,striae,1
acne,basal cell carcinoma,1
acne,dermatomyositis,1
acne,eczema,1
urticaria,rosacea,1
urticaria,scabies,1
urticaria,squamous cell carcinoma,1
urticaria,urticaria pigmentosa,1
urticaria pigmentosa,acne,1
xanthomas,pilar cyst,1
urticaria pigmentosa,ehlers danlos syndrome,1
urticaria pigmentosa,incontinentia pigmenti,1
urticaria pigmentosa,lupus subacute,1
urticaria pigmentosa,scleroderma,1
vitiligo,dermatomyositis,1
vitiligo,fixed eruptions,1
vitiligo,keloid,1
vitiligo,lichen planus,1
vitiligo,porphyria,1
vitiligo,scleroderma,1
xanthomas,allergic contact dermatitis,1
xanthomas,dermatomyositis,1
xanthomas,epidermal nevus,1
xanthomas,granuloma annulare,1
urticaria pigmentosa,drug eruption,1
behcets disease,granuloma pyogenic,1
behcets disease,lichen planus,1
behcets disease,stevens johnson syndrome,1
behcets disease,superficial spreading melanoma ssm,1
calcinosis cutis,actinic keratosis,1
calcinosis cutis,granuloma annulare,1
calcinosis cutis,livedo reticularis,1
calcinosis cutis,lupus subacute,1
calcinosis cutis,nevocytic nevus,1
calcinosis cutis,scleroderma,1
calcinosis cutis,scleromyxedema,1
calcinosis cutis,squamous cell carcinoma,1
cheilitis,allergic contact dermatitis,1
cheilitis,fordyce spots,1
allergic contact dermatitis,lyme disease,1
cheilitis,lupus erythematosus,1
cheilitis,mucinosis,1
cheilitis,neurofibromatosis,1
cheilitis,prurigo nodularis,1
congenital nevus,folliculitis,1
congenital nevus,keloid,1
congenital nevus,squamous cell carcinoma,1
dariers disease,actinic keratosis,1
dariers disease,dermatomyositis,1
dariers disease,disseminated actinic porokeratosis,1
dariers disease,drug eruption,1
dariers disease,eczema,1
dariers disease,erythema multiforme,1
dariers disease,fordyce spots,1
cheilitis,lichen planus,1
allergic contact dermatitis,malignant melanoma,1
allergic contact dermatitis,melanoma,1
allergic contact dermatitis,mycosis fungoides,1
allergic contact dermatitis,necrobiosis lipoidica,1
allergic contact dermatitis,neutrophilic dermatoses,1
allergic contact dermatitis,pediculosis lids,1
allergic contact dermatitis,port wine stain,1
allergic contact dermatitis,scabies,1
aplasia cutis,erythema multiforme,1
aplasia cutis,juvenile xanthogranuloma,1
aplasia cutis,mycosis fungoides,1
aplasia cutis,pediculosis lids,1
aplasia cutis,photodermatoses,1
aplasia cutis,scabies,1
behcets disease,erythema nodosum,1
basal cell carcinoma,dariers disease,1
basal cell carcinoma,incontinentia pigmenti,1
basal cell carcinoma,langerhans cell histiocytosis,1
basal cell carcinoma,neutrophilic dermatoses,1
basal cell carcinoma,pilar cyst,1
basal cell carcinoma,pilomatricoma,1
basal cell carcinoma,prurigo nodularis,1
basal cell carcinoma,rhinophyma,1
basal cell carcinoma morpheiform,aplasia cutis,1
basal cell carcinoma morpheiform,basal cell carcinoma,1
basal cell carcinoma morpheiform,lentigo maligna,1
basal cell carcinoma morpheiform,lupus subacute,1
basal cell carcinoma morpheiform,seborrheic keratosis,1
becker nevus,neurofibromatosis,1
becker nevus,pityriasis lichenoides chronica,1
basal cell carcinoma,aplasia cutis,1
lupus erythematosus,mucous cyst,1
lupus erythematosus,necrobiosis lipoidica,1
lupus erythematosus,neurofibromatosis,1
lupus erythematosus,neutrophilic dermatoses,1
lupus erythematosus,psoriasis,1
lupus erythematosus,scabies,1
lupus erythematosus,squamous cell carcinoma,1
lupus erythematosus,urticaria,1
lupus erythematosus,vitiligo,1
lupus subacute,allergic contact dermatitis,1
lupus subacute,cheilitis,1
lupus subacute,dermatofibroma,1
lupus subacute,granuloma annulare,1
lupus subacute,lichen planus,1
fixed eruptions,basal cell carcinoma,1
lupus subacute,perioral dermatitis,1
lupus subacute,pilar cyst,1
lupus subacute,psoriasis,1
lupus subacute,scleroderma,1
lupus subacute,squamous cell carcinoma,1
lyme disease,acanthosis nigricans,1
lyme disease,basal cell carcinoma,1
lyme disease,congenital nevus,1
lyme disease,kaposi sarcoma,1
lyme disease,neutrophilic dermatoses,1
lyme disease,pityriasis rosea,1
lyme disease,tuberous sclerosis,1
lyme disease,tungiasis,1
lymphangioma,allergic contact dermatitis,1
lupus subacute,paronychia,1
lichen planus,nevocytic nevus,1
lichen planus,pityriasis rosea,1
lichen planus,porphyria,1
lichen planus,port wine stain,1
lichen planus,pyogenic granuloma,1
lichen planus,sarcoidosis,1
lichen planus,scleromyxedema,1
lichen planus,seborrheic keratosis,1
lichen planus,squamous cell carcinoma,1
lichen planus,stasis edema,1
lichen simplex,actinic keratosis,1
lichen simplex,dariers disease,1
lichen simplex,erythema multiforme,1
lichen simplex,lyme disease,1
lupus erythematosus,melanoma,1
lichen simplex,urticaria,1
livedo reticularis,ehlers danlos syndrome,1
livedo reticularis,erythema multiforme,1
livedo reticularis,prurigo nodularis,1
livedo reticularis,urticaria,1
lupus erythematosus,acne,1
lupus erythematosus,acne vulgaris,1
lupus erythematosus,aplasia cutis,1
lupus erythematosus,cheilitis,1
lupus erythematosus,drug eruption,1
lupus erythematosus,eczema,1
lupus erythematosus,erythema annulare centrifigum,1
lupus erythematosus,folliculitis,1
lupus erythematosus,lichen planus,1
lichen simplex,stevens johnson syndrome,1
milia,telangiectases,1
milia,urticaria,1
mucinosis,allergic contact dermatitis,1
mucinosis,aplasia cutis,1
mucinosis,dermatomyositis,1
mucinosis,drug eruption,1
mucinosis,eczema,1
mucinosis,mycosis fungoides,1
mucinosis,pilar cyst,1
mucous cyst,allergic contact dermatitis,1
mucous cyst,eczema,1
mucous cyst,folliculitis,1
mucous cyst,hidradenitis,1
mucous cyst,lichen planus,1
lymphangioma,basal cell carcinoma morpheiform,1
mucous cyst,malignant melanoma,1
mucous cyst,psoriasis,1
mucous cyst,squamous cell carcinoma,1
mycosis fungoides,acanthosis nigricans,1
mycosis fungoides,acne,1
mycosis fungoides,acne vulgaris,1
mycosis fungoides,actinic keratosis,1
mycosis fungoides,allergic contact dermatitis,1
mycosis fungoides,eczema,1
mycosis fungoides,erythema annulare centrifigum,1
mycosis fungoides,ichthyosis vulgaris,1
mycosis fungoides,lupus erythematosus,1
mycosis fungoides,lyme disease,1
mycosis fungoides,scleroderma,1
mucous cyst,lupus subacute,1
lymphangioma,drug eruption,1
lymphangioma,eczema,1
lymphangioma,ehlers danlos syndrome,1
lymphangioma,fordyce spots,1
lymphangioma,melanoma,1
lymphangioma,photodermatoses,1
lymphangioma,pyogenic granuloma,1
lymphangioma,scabies,1
malignant melanoma,allergic contact dermatitis,1
malignant melanoma,dermatomyositis,1
malignant melanoma,hidradenitis,1
malignant melanoma,scleroderma,1
malignant melanoma,squamous cell carcinoma,1
malignant melanoma,tungiasis,1
milia,sarcoidosis,1
melanoma,ichthyosis vulgaris,1
melanoma,kaposi sarcoma,1
melanoma,keloid,1
melanoma,lupus subacute,1
melanoma,malignant melanoma,1
melanoma,nevocytic nevus,1
melanoma,paronychia,1
melanoma,porokeratosis of mibelli,1
melanoma,tuberous sclerosis,1
milia,acne,1
milia,basal cell carcinoma,1
milia,lichen planus,1
milia,neutrophilic dermatoses,1
milia,pityriasis lichenoides chronica,1
milia,pityriasis rosea,1
melanoma,folliculitis,1
granuloma annulare,granuloma pyogenic,1
granuloma annulare,hailey hailey disease,1
granuloma annulare,ichthyosis vulgaris,1
granuloma annulare,incontinentia pigmenti,1
granuloma annulare,mycosis fungoides,1
granuloma annulare,neutrophilic dermatoses,1
granuloma annulare,photodermatoses,1
granuloma annulare,prurigo nodularis,1
granuloma annulare,xeroderma pigmentosum,1
granuloma pyogenic,melanoma,1
granuloma pyogenic,mucous cyst,1
granuloma pyogenic,nematode infection,1
granuloma pyogenic,pediculosis lids,1
granuloma pyogenic,photodermatoses,1
lichen planus,nematode infection,1
hailey hailey disease,basal cell carcinoma,1
hailey hailey disease,hidradenitis,1
hailey hailey disease,lupus erythematosus,1
hailey hailey disease,neutrophilic dermatoses,1
hailey hailey disease,seborrheic dermatitis,1
halo nevus,fixed eruptions,1
hidradenitis,acne,1
hidradenitis,dermatomyositis,1
hidradenitis,fixed eruptions,1
hidradenitis,lupus erythematosus,1
hidradenitis,mycosis fungoides,1
hidradenitis,nematode infection,1
hidradenitis,psoriasis,1
hidradenitis,scabies,1
hailey hailey disease,acne vulgaris,1
fixed eruptions,behcets disease,1
fixed eruptions,dermatomyositis,1
fixed eruptions,drug eruption,1
fixed eruptions,erythema multiforme,1
fixed eruptions,erythema nodosum,1
fixed eruptions,folliculitis,1
fixed eruptions,lyme disease,1
fixed eruptions,urticaria,1
folliculitis,eczema,1
folliculitis,lichen planus,1
folliculitis,mucinosis,1
folliculitis,myiasis,1
folliculitis,necrobiosis lipoidica,1
folliculitis,pediculosis lids,1
granuloma annulare,fixed eruptions,1
folliculitis,pityriasis rubra pilaris,1
folliculitis,scabies,1
folliculitis,seborrheic dermatitis,1
folliculitis,syringoma,1
fordyce spots,folliculitis,1
fordyce spots,incontinentia pigmenti,1
fordyce spots,langerhans cell histiocytosis,1
fordyce spots,psoriasis,1
fordyce spots,striae,1
granuloma annulare,becker nevus,1
granuloma annulare,drug eruption,1
granuloma annulare,erythema elevatum diutinum,1
granuloma annulare,erythema multiforme,1
granuloma annulare,erythema nodosum,1
folliculitis,pityriasis lichenoides chronica,1
keratosis pilaris,disseminated actinic porokeratosis,1
keratosis pilaris,lichen amyloidosis,1
keratosis pilaris,pityriasis rosea,1
keratosis pilaris,scabies,1
keratosis pilaris,scleroderma,1
langerhans cell histiocytosis,nevus sebaceous of jadassohn,1
langerhans cell histiocytosis,sarcoidosis,1
langerhans cell histiocytosis,scabies,1
lentigo maligna,pediculosis lids,1
lentigo maligna,photodermatoses,1
lentigo maligna,superficial spreading melanoma ssm,1
lichen amyloidosis,acanthosis nigricans,1
lichen amyloidosis,eczema,1
lichen amyloidosis,folliculitis,1
hidradenitis,tuberous sclerosis,1
lichen amyloidosis,scleroderma,1
lichen planus,acne vulgaris,1
lichen planus,actinic keratosis,1
lichen planus,allergic contact dermatitis,1
lichen planus,aplasia cutis,1
lichen planus,dermatofibroma,1
lichen planus,eczema,1
lichen planus,epidermolysis bullosa,1
lichen planus,erythema nodosum,1
lichen planus,folliculitis,1
lichen planus,fordyce spots,1
lichen planus,granuloma annulare,1
lichen planus,kaposi sarcoma,1
lichen planus,necrobiosis lipoidica,1
lichen amyloidosis,nematode infection,1
ichthyosis vulgaris,dyshidrotic eczema,1
ichthyosis vulgaris,lichen amyloidosis,1
ichthyosis vulgaris,porokeratosis actinic,1
ichthyosis vulgaris,psoriasis,1
incontinentia pigmenti,aplasia cutis,1
incontinentia pigmenti,dyshidrotic eczema,1
incontinentia pigmenti,nematode infection,1
incontinentia pigmenti,rhinophyma,1
incontinentia pigmenti,telangiectases,1
incontinentia pigmenti,urticaria,1
juvenile xanthogranuloma,dermatofibroma,1
juvenile xanthogranuloma,fixed eruptions,1
juvenile xanthogranuloma,granuloma pyogenic,1
juvenile xanthogranuloma,nevocytic nevus,1
keloid,xeroderma pigmentosum,1
juvenile xanthogranuloma,sarcoidosis,1
juvenile xanthogranuloma,scleroderma,1
kaposi sarcoma,allergic contact dermatitis,1
kaposi sarcoma,dermatomyositis,1
kaposi sarcoma,lichen planus,1
kaposi sarcoma,prurigo nodularis,1
kaposi sarcoma,psoriasis,1
kaposi sarcoma,pyogenic granuloma,1
kaposi sarcoma,squamous cell carcinoma,1
kaposi sarcoma,superficial spreading melanoma ssm,1
keloid,folliculitis,1
keloid,photodermatoses,1
keloid,rhinophyma,1
keloid,striae,1
keloid,vitiligo,1
juvenile xanthogranuloma,pityriasis lichenoides chronica,1
