true_disease,predicted_disease,error_count
photodermatoses,pilar cyst,1
photodermatoses,pilomatricoma,1
photodermatoses,pityriasis rosea,1
telangiectases,basal cell carcinoma morpheiform,1
photodermatoses,incontinentia pigmenti,1
pityriasis rubra pilaris,photodermatoses,1
acne vulgaris,lupus erythematosus,1
pityriasis rubra pilaris,psoriasis,1
acne vulgaris,lichen planus,1
pityriasis rubra pilaris,sun damaged skin,1
pityriasis rubra pilaris,vitiligo,1
pityriasis rubra pilaris,xeroderma pigmentosum,1
porokeratosis actinic,prurigo nodularis,1
porokeratosis of mibelli,folliculitis,1
porokeratosis of mibelli,nematode infection,1
porokeratosis of mibelli,pityriasis lichenoides chronica,1
pediculosis lids,acanthosis nigricans,1
porphyria,acne,1
porphyria,actinic keratosis,1
acne vulgaris,acquired autoimmune bullous diseaseherpes gestationis,1
porphyria,dariers disease,1
porphyria,drug eruption,1
porphyria,eczema,1
porphyria,lichen planus,1
porphyria,lupus subacute,1
porphyria,necrobiosis lipoidica,1
acne,tuberous sclerosis,1
porphyria,rosacea,1
porokeratosis of mibelli,scleroderma,1
pilar cyst,squamous cell carcinoma,1
pilar cyst,syringoma,1
acne vulgaris,photodermatoses,1
pilomatricoma,acne vulgaris,1
pilomatricoma,congenital nevus,1
pilomatricoma,fordyce spots,1
pilomatricoma,juvenile xanthogranuloma,1
pilomatricoma,squamous cell carcinoma,1
pityriasis lichenoides chronica,hidradenitis,1
pityriasis lichenoides chronica,incontinentia pigmenti,1
pityriasis lichenoides chronica,pityriasis rosea,1
pityriasis rubra pilaris,basal cell carcinoma,1
pityriasis rosea,hailey hailey disease,1
pityriasis rosea,lyme disease,1
acne vulgaris,neutrophilic dermatoses,1
pityriasis rosea,neurofibromatosis,1
pityriasis rosea,photodermatoses,1
pityriasis rosea,psoriasis,1
acne vulgaris,neurofibromatosis,1
pityriasis rosea,scabies,1
pityriasis rosea,seborrheic keratosis,1
pityriasis rosea,urticaria,1
pityriasis rosea,urticaria pigmentosa,1
pityriasis rosea,folliculitis,1
neurodermatitis,juvenile xanthogranuloma,1
neurodermatitis,lupus subacute,1
neurodermatitis,melanoma,1
neurodermatitis,necrobiosis lipoidica,1
neurodermatitis,neutrophilic dermatoses,1
neurodermatitis,photodermatoses,1
neurodermatitis,telangiectases,1
tuberous sclerosis,livedo reticularis,1
neurofibromatosis,acquired autoimmune bullous diseaseherpes gestationis,1
neurofibromatosis,incontinentia pigmenti,1
neurofibromatosis,kaposi sarcoma,1
acne,fixed eruptions,1
tuberous sclerosis,lichen planus,1
tuberous sclerosis,ichthyosis vulgaris,1
tuberous sclerosis,halo nevus,1
tuberous sclerosis,folliculitis,1
neurofibromatosis,neutrophilic dermatoses,1
neurofibromatosis,pilomatricoma,1
neurofibromatosis,sarcoidosis,1
neurofibromatosis,seborrheic keratosis,1
tuberous sclerosis,drug eruption,1
neurofibromatosis,syringoma,1
neurotic excoriations,actinic keratosis,1
neurotic excoriations,ehlers danlos syndrome,1
neurofibromatosis,mycosis fungoides,1
myiasis,behcets disease,1
myiasis,lyme disease,1
myiasis,neurodermatitis,1
myiasis,neutrophilic dermatoses,1
naevus comedonicus,folliculitis,1
urticaria,pilar cyst,1
naevus comedonicus,sarcoidosis,1
naevus comedonicus,superficial spreading melanoma ssm,1
necrobiosis lipoidica,erythema annulare centrifigum,1
tungiasis,behcets disease,1
necrobiosis lipoidica,kaposi sarcoma,1
necrobiosis lipoidica,melanoma,1
neurodermatitis,granuloma annulare,1
nematode infection,ehlers danlos syndrome,1
nematode infection,epidermal nevus,1
tuberous sclerosis,psoriasis,1
nematode infection,lyme disease,1
nematode infection,neutrophilic dermatoses,1
nematode infection,photodermatoses,1
nematode infection,pilomatricoma,1
nematode infection,urticaria,1
neurodermatitis,ehlers danlos syndrome,1
tuberous sclerosis,lyme disease,1
neurodermatitis,epidermolysis bullosa,1
neurodermatitis,folliculitis,1
tuberous sclerosis,scabies,1
tick bite,juvenile xanthogranuloma,1
nevocytic nevus,melanoma,1
nevocytic nevus,mucinosis,1
nevocytic nevus,pilar cyst,1
nevocytic nevus,striae,1
tick bite,eczema,1
tick bite,dermatofibroma,1
nevus sebaceous of jadassohn,basal cell carcinoma morpheiform,1
nevus sebaceous of jadassohn,behcets disease,1
telangiectases,pediculosis lids,1
nevus sebaceous of jadassohn,lichen amyloidosis,1
nevus sebaceous of jadassohn,lupus erythematosus,1
neurotic excoriations,folliculitis,1
nevus sebaceous of jadassohn,solid cystic basal cell carcinoma,1
papilomatosis confluentes and reticulate,acanthosis nigricans,1
telangiectases,mycosis fungoides,1
telangiectases,lupus erythematosus,1
papilomatosis confluentes and reticulate,incontinentia pigmenti,1
telangiectases,lichen planus,1
papilomatosis confluentes and reticulate,lupus erythematosus,1
paronychia,epidermolysis bullosa,1
paronychia,necrobiosis lipoidica,1
telangiectases,ehlers danlos syndrome,1
paronychia,pyogenic granuloma,1
telangiectases,drug eruption,1
nevus sebaceous of jadassohn,malignant melanoma,1
tuberous sclerosis,acquired autoimmune bullous diseaseherpes gestationis,1
neurotic excoriations,granuloma annulare,1
tick bite,urticaria pigmentosa,1
neurotic excoriations,hidradenitis,1
neurotic excoriations,nematode infection,1
neurotic excoriations,rosacea,1
neurotic excoriations,sarcoidosis,1
tick bite,seborrheic keratosis,1
tick bite,seborrheic dermatitis,1
neurotic excoriations,tuberous sclerosis,1
neutrophilic dermatoses,acne vulgaris,1
neutrophilic dermatoses,cheilitis,1
neutrophilic dermatoses,scleroderma,1
tick bite,sarcoidosis,1
neutrophilic dermatoses,folliculitis,1
neutrophilic dermatoses,lichen planus,1
neutrophilic dermatoses,lupus erythematosus,1
tick bite,pediculosis lids,1
neutrophilic dermatoses,necrobiosis lipoidica,1
neutrophilic dermatoses,nematode infection,1
neutrophilic dermatoses,porokeratosis actinic,1
tick bite,lupus erythematosus,1
neutrophilic dermatoses,psoriasis,1
neutrophilic dermatoses,pyogenic granuloma,1
neutrophilic dermatoses,scabies,1
neutrophilic dermatoses,drug eruption,1
stevens johnson syndrome,halo nevus,1
scleroderma,incontinentia pigmenti,1
stevens johnson syndrome,erythema multiforme,1
stevens johnson syndrome,dermatomyositis,1
stevens johnson syndrome,allergic contact dermatitis,1
stasis edema,pyogenic granuloma,1
stasis edema,pityriasis rubra pilaris,1
stasis edema,neutrophilic dermatoses,1
scleroderma,melanoma,1
scleroderma,mycosis fungoides,1
scleroderma,neurofibromatosis,1
myiasis,lupus erythematosus,1
stasis edema,melanoma,1
scleroderma,perioral dermatitis,1
stasis edema,kaposi sarcoma,1
scleroderma,pilomatricoma,1
stasis edema,fixed eruptions,1
scleroderma,tungiasis,1
scleroderma,urticaria,1
scleroderma,urticaria pigmentosa,1
scleroderma,vitiligo,1
stasis edema,erythema nodosum,1
scleroderma,xeroderma pigmentosum,1
scleromyxedema,drug eruption,1
stasis edema,mycosis fungoides,1
sarcoidosis,xeroderma pigmentosum,1
stevens johnson syndrome,urticaria,1
scabies,acne,1
stevens johnson syndrome,pyogenic granuloma,1
scabies,eczema,1
scabies,erythema multiforme,1
stevens johnson syndrome,psoriasis,1
scabies,hidradenitis,1
stevens johnson syndrome,porphyria,1
stevens johnson syndrome,neutrophilic dermatoses,1
stevens johnson syndrome,melanoma,1
scabies,photodermatoses,1
scleroderma,ichthyosis vulgaris,1
scabies,porokeratosis of mibelli,1
scabies,prurigo nodularis,1
scabies,psoriasis,1
scabies,rhinophyma,1
scabies,striae,1
stevens johnson syndrome,lupus subacute,1
scleroderma,calcinosis cutis,1
scleroderma,dermatomyositis,1
scleroderma,drug eruption,1
scleroderma,eczema,1
scleroderma,ehlers danlos syndrome,1
stevens johnson syndrome,incontinentia pigmenti,1
scabies,pityriasis lichenoides chronica,1
solid cystic basal cell carcinoma,actinic keratosis,1
solid cystic basal cell carcinoma,basal cell carcinoma,1
solid cystic basal cell carcinoma,basal cell carcinoma morpheiform,1
solid cystic basal cell carcinoma,cheilitis,1
solid cystic basal cell carcinoma,melanoma,1
solid cystic basal cell carcinoma,stasis edema,1
solid cystic basal cell carcinoma,tuberous sclerosis,1
solid cystic basal cell carcinoma,vitiligo,1
squamous cell carcinoma,acne vulgaris,1
squamous cell carcinoma,allergic contact dermatitis,1
squamous cell carcinoma,porokeratosis of mibelli,1
scleromyxedema,folliculitis,1
squamous cell carcinoma,porokeratosis actinic,1
squamous cell carcinoma,cheilitis,1
squamous cell carcinoma,pediculosis lids,1
squamous cell carcinoma,erythema nodosum,1
squamous cell carcinoma,neutrophilic dermatoses,1
squamous cell carcinoma,mycosis fungoides,1
squamous cell carcinoma,granuloma pyogenic,1
squamous cell carcinoma,hidradenitis,1
squamous cell carcinoma,ichthyosis vulgaris,1
squamous cell carcinoma,lichen planus,1
squamous cell carcinoma,mucous cyst,1
squamous cell carcinoma,malignant melanoma,1
squamous cell carcinoma,becker nevus,1
squamous cell carcinoma,tungiasis,1
scleromyxedema,halo nevus,1
scleromyxedema,ichthyosis vulgaris,1
scleromyxedema,lyme disease,1
scleromyxedema,psoriasis,1
scleromyxedema,syringoma,1
scleromyxedema,urticaria,1
seborrheic dermatitis,acne,1
seborrheic dermatitis,acne vulgaris,1
seborrheic dermatitis,basal cell carcinoma,1
seborrheic dermatitis,folliculitis,1
seborrheic dermatitis,lupus erythematosus,1
seborrheic keratosis,xeroderma pigmentosum,1
seborrheic dermatitis,psoriasis,1
seborrheic dermatitis,rhinophyma,1
seborrheic dermatitis,rosacea,1
seborrheic dermatitis,seborrheic keratosis,1
seborrheic dermatitis,telangiectases,1
seborrheic keratosis,acne vulgaris,1
seborrheic keratosis,incontinentia pigmenti,1
seborrheic keratosis,melanoma,1
seborrheic keratosis,pityriasis rosea,1
seborrheic keratosis,squamous cell carcinoma,1
squamous cell carcinoma,scabies,1
squamous cell carcinoma,sarcoidosis,1
squamous cell carcinoma,solid cystic basal cell carcinoma,1
psoriasis,juvenile xanthogranuloma,1
psoriasis,kaposi sarcoma,1
syringoma,milia,1
psoriasis,lichen simplex,1
syringoma,drug induced pigmentary changes,1
psoriasis,necrobiosis lipoidica,1
syringoma,dariers disease,1
syringoma,acanthosis nigricans,1
superficial spreading melanoma ssm,papilomatosis confluentes and reticulate,1
psoriasis,nevus sebaceous of jadassohn,1
superficial spreading melanoma ssm,neutrophilic dermatoses,1
sarcoidosis,urticaria,1
psoriasis,photodermatoses,1
superficial spreading melanoma ssm,neurofibromatosis,1
psoriasis,pityriasis rubra pilaris,1
psoriasis,porokeratosis of mibelli,1
psoriasis,port wine stain,1
psoriasis,sarcoidosis,1
psoriasis,scleroderma,1
psoriasis,urticaria,1
superficial spreading melanoma ssm,malignant melanoma,1
pustular psoriasis,prurigo nodularis,1
pustular psoriasis,psoriasis,1
pustular psoriasis,stevens johnson syndrome,1
psoriasis,pediculosis lids,1
porphyria,xeroderma pigmentosum,1
port wine stain,neutrophilic dermatoses,1
port wine stain,photodermatoses,1
port wine stain,psoriasis,1
acne,psoriasis,1
port wine stain,urticaria,1
prurigo nodularis,acquired autoimmune bullous diseaseherpes gestationis,1
prurigo nodularis,disseminated actinic porokeratosis,1
acne,pityriasis rubra pilaris,1
prurigo nodularis,halo nevus,1
prurigo nodularis,lichen planus,1
acne,perioral dermatitis,1
psoriasis,incontinentia pigmenti,1
prurigo nodularis,psoriasis,1
prurigo nodularis,xeroderma pigmentosum,1
acne,milia,1
psoriasis,cheilitis,1
psoriasis,drug eruption,1
acne,lichen simplex,1
psoriasis,epidermal nevus,1
telangiectases,basal cell carcinoma,1
telangiectases,acne vulgaris,1
syringoma,tuberous sclerosis,1
psoriasis,erythema nodosum,1
psoriasis,granuloma annulare,1
prurigo nodularis,nematode infection,1
sarcoidosis,ehlers danlos syndrome,1
sun damaged skin,juvenile xanthogranuloma,1
sarcoidosis,keloid,1
sun damaged skin,dyshidrotic eczema,1
sarcoidosis,lichen planus,1
sarcoidosis,livedo reticularis,1
sun damaged skin,allergic contact dermatitis,1
sun damaged skin,acne,1
striae,urticaria pigmentosa,1
striae,photodermatoses,1
sarcoidosis,lupus subacute,1
sarcoidosis,lyme disease,1
pyogenic granuloma,acanthosis nigricans,1
striae,mycosis fungoides,1
sarcoidosis,necrobiosis lipoidica,1
sarcoidosis,nematode infection,1
striae,folliculitis,1
striae,cheilitis,1
sarcoidosis,port wine stain,1
sarcoidosis,psoriasis,1
sarcoidosis,seborrheic dermatitis,1
sarcoidosis,stevens johnson syndrome,1
sarcoidosis,syringoma,1
sarcoidosis,tick bite,1
sarcoidosis,tuberous sclerosis,1
sarcoidosis,melanoma,1
pyogenic granuloma,allergic contact dermatitis,1
pyogenic granuloma,basal cell carcinoma,1
pyogenic granuloma,cheilitis,1
superficial spreading melanoma ssm,dariers disease,1
pyogenic granuloma,erythema multiforme,1
pyogenic granuloma,juvenile xanthogranuloma,1
pyogenic granuloma,mucous cyst,1
superficial spreading melanoma ssm,becker nevus,1
superficial spreading melanoma ssm,basal cell carcinoma,1
pyogenic granuloma,superficial spreading melanoma ssm,1
pyogenic granuloma,tick bite,1
rhinophyma,actinic keratosis,1
sarcoidosis,aplasia cutis,1
rhinophyma,porphyria,1
sun damaged skin,rosacea,1
rhinophyma,rosacea,1
rosacea,dermatomyositis,1
rosacea,lupus erythematosus,1
rosacea,perioral dermatitis,1
rosacea,psoriasis,1
sun damaged skin,porokeratosis of mibelli,1
rosacea,seborrheic dermatitis,1
rosacea,urticaria pigmentosa,1
sun damaged skin,perioral dermatitis,1
sun damaged skin,mycosis fungoides,1
rhinophyma,allergic contact dermatitis,1
drug eruption,folliculitis,1
drug eruption,hailey hailey disease,1
drug eruption,keratosis pilaris,1
drug eruption,livedo reticularis,1
drug eruption,lyme disease,1
drug eruption,mycosis fungoides,1
drug eruption,nematode infection,1
drug eruption,photodermatoses,1
drug eruption,pilomatricoma,1
drug eruption,pustular psoriasis,1
