skin_tone_group,true_class_id,true_disease,predicted_class_id,predicted_disease,error_count
Dark,91,sarcoidosis,68,neutrophilic dermatoses,1
Dark,92,scabies,32,folliculitis,1
Dark,92,scabies,68,neutrophilic dermatoses,1
Dark,92,scabies,75,photodermatoses,1
Dark,93,scleroderma,113,xeroderma pigmentosum,1
Dark,94,scleromyxedema,39,ichthyosis vulgaris,1
Dark,95,seborrheic dermatitis,86,psoriasis,1
Dark,96,seborrheic keratosis,103,superficial spreading melanoma ssm,1
Dark,96,seborrheic keratosis,113,xeroderma pigmentosum,1
Dark,98,squamous cell carcinoma,8,basal cell carcinoma,1
Dark,98,squamous cell carcinoma,22,eczema,1
Dark,98,squamous cell carcinoma,73,pediculosis lids,1
Dark,99,stasis edema,42,kaposi sarcoma,1
Dark,100,stevens johnson syndrome,40,incontinentia pigmenti,1
Dark,101,striae,109,urticaria,1
Dark,102,sun damaged skin,60,mycosis fungoides,1
Dark,104,syringoma,15,dariers disease,1
Dark,106,tick bite,96,seborrheic keratosis,1
Dark,107,tuberous sclerosis,3,acquired autoimmune bullous diseaseherpes gestationis,1
Dark,110,urticaria pigmentosa,23,ehlers danlos syndrome,1
Dark,111,vitiligo,32,folliculitis,1
Dark,112,xanthomas,111,vitiligo,1
Dark,113,xeroderma pigmentosum,100,stevens johnson syndrome,1
Light,8,basal cell carcinoma,98,squamous cell carcinoma,6
Light,90,rosacea,89,rhinophyma,5
Light,98,squamous cell carcinoma,8,basal cell carcinoma,5
Light,1,acne,2,acne vulgaris,4
Light,56,melanoma,103,superficial spreading melanoma ssm,4
Light,2,acne vulgaris,1,acne,3
Light,6,allergic contact dermatitis,86,psoriasis,3
Light,6,allergic contact dermatitis,99,stasis edema,3
Light,8,basal cell carcinoma,88,pyogenic granuloma,3
Light,9,basal cell carcinoma morpheiform,98,squamous cell carcinoma,3
Light,14,congenital nevus,110,urticaria pigmentosa,3
Light,19,drug eruption,86,psoriasis,3
Light,22,eczema,32,folliculitis,3
Light,56,melanoma,93,scleroderma,3
Light,60,mycosis fungoides,91,sarcoidosis,3
Light,69,nevocytic nevus,103,superficial spreading melanoma ssm,3
Light,75,photodermatoses,6,allergic contact dermatitis,3
Light,75,photodermatoses,32,folliculitis,3
Light,86,psoriasis,45,langerhans cell histiocytosis,3
Light,98,squamous cell carcinoma,22,eczema,3
Light,105,telangiectases,17,dermatomyositis,3
Light,1,acne,6,allergic contact dermatitis,2
Light,1,acne,92,scabies,2
Light,1,acne,100,stevens johnson syndrome,2
Light,2,acne vulgaris,22,eczema,2
Light,2,acne vulgaris,32,folliculitis,2
Light,3,acquired autoimmune bullous diseaseherpes gestationis,28,erythema multiforme,2
Light,5,actinic keratosis,22,eczema,2
Light,6,allergic contact dermatitis,8,basal cell carcinoma,2
Light,6,allergic contact dermatitis,17,dermatomyositis,2
Light,6,allergic contact dermatitis,74,perioral dermatitis,2
Light,6,allergic contact dermatitis,91,sarcoidosis,2
Light,8,basal cell carcinoma,5,actinic keratosis,2
Light,8,basal cell carcinoma,6,allergic contact dermatitis,2
Light,8,basal cell carcinoma,32,folliculitis,2
Light,8,basal cell carcinoma,97,solid cystic basal cell carcinoma,2
Light,13,cheilitis,74,perioral dermatitis,2
Light,17,dermatomyositis,92,scabies,2
Light,18,disseminated actinic porokeratosis,85,prurigo nodularis,2
Light,19,drug eruption,100,stevens johnson syndrome,2
Light,21,dyshidrotic eczema,22,eczema,2
Light,28,erythema multiforme,68,neutrophilic dermatoses,2
Light,28,erythema multiforme,100,stevens johnson syndrome,2
Light,29,erythema nodosum,6,allergic contact dermatitis,2
Light,32,folliculitis,68,neutrophilic dermatoses,2
Light,34,granuloma annulare,82,porokeratosis of mibelli,2
Light,37,halo nevus,41,juvenile xanthogranuloma,2
Light,39,ichthyosis vulgaris,0,acanthosis nigricans,2
Light,41,juvenile xanthogranuloma,32,folliculitis,2
Light,42,kaposi sarcoma,28,erythema multiforme,2
Light,44,keratosis pilaris,32,folliculitis,2
Light,48,lichen planus,28,erythema multiforme,2
Light,51,lupus erythematosus,17,dermatomyositis,2
Light,51,lupus erythematosus,52,lupus subacute,2
Light,51,lupus erythematosus,53,lyme disease,2
Light,51,lupus erythematosus,90,rosacea,2
Light,55,malignant melanoma,16,dermatofibroma,2
Light,55,malignant melanoma,103,superficial spreading melanoma ssm,2
Light,56,melanoma,98,squamous cell carcinoma,2
Light,57,milia,53,lyme disease,2
Light,58,mucinosis,53,lyme disease,2
Light,63,necrobiosis lipoidica,91,sarcoidosis,2
Light,66,neurofibromatosis,1,acne,2
Light,68,neutrophilic dermatoses,6,allergic contact dermatitis,2
Light,68,neutrophilic dermatoses,28,erythema multiforme,2
Light,68,neutrophilic dermatoses,60,mycosis fungoides,2
Light,68,neutrophilic dermatoses,84,port wine stain,2
Light,68,neutrophilic dermatoses,98,squamous cell carcinoma,2
Light,74,perioral dermatitis,1,acne,2
Light,74,perioral dermatitis,90,rosacea,2
Light,75,photodermatoses,19,drug eruption,2
Light,75,photodermatoses,68,neutrophilic dermatoses,2
Light,75,photodermatoses,93,scleroderma,2
Light,76,pilar cyst,55,malignant melanoma,2
Light,79,pityriasis rosea,64,nematode infection,2
Light,82,porokeratosis of mibelli,86,psoriasis,2
Light,83,porphyria,86,psoriasis,2
Light,84,port wine stain,91,sarcoidosis,2
Light,86,psoriasis,6,allergic contact dermatitis,2
Light,86,psoriasis,22,eczema,2
