true_class_id,true_disease,predicted_class_id,predicted_disease,error_count
111,vitiligo,48,lichen planus,1
111,vitiligo,93,scleroderma,1
112,xanthomas,6,allergic contact dermatitis,1
112,xanthomas,17,dermatomyositis,1
112,xanthomas,24,epidermal nevus,1
112,xanthomas,34,granuloma annulare,1
110,urticaria pigmentosa,19,drug eruption,1
11,behcets disease,35,granuloma pyogenic,1
11,behcets disease,48,lichen planus,1
11,behcets disease,100,stevens johnson syndrome,1
11,behcets disease,103,superficial spreading melanoma ssm,1
12,calcinosis cutis,5,actinic keratosis,1
109,urticaria,92,scabies,1
109,urticaria,98,squamous cell carcinoma,1
12,calcinosis cutis,50,livedo reticularis,1
5,actinic keratosis,85,prurigo nodularis,1
5,actinic keratosis,86,psoriasis,1
5,actinic keratosis,93,scleroderma,1
5,actinic keratosis,100,stevens johnson syndrome,1
6,allergic contact dermatitis,5,actinic keratosis,1
6,allergic contact dermatitis,10,becker nevus,1
6,allergic contact dermatitis,15,dariers disease,1
6,allergic contact dermatitis,26,erythema annulare centrifigum,1
6,allergic contact dermatitis,28,erythema multiforme,1
6,allergic contact dermatitis,32,folliculitis,1
6,allergic contact dermatitis,42,kaposi sarcoma,1
12,calcinosis cutis,34,granuloma annulare,1
6,allergic contact dermatitis,51,lupus erythematosus,1
5,actinic keratosis,53,lyme disease,1
113,xeroderma pigmentosum,100,stevens johnson syndrome,1
0,acanthosis nigricans,14,congenital nevus,1
0,acanthosis nigricans,31,fixed eruptions,1
0,acanthosis nigricans,60,mycosis fungoides,1
0,acanthosis nigricans,71,papilomatosis confluentes and reticulate,1
0,acanthosis nigricans,101,striae,1
1,acne,8,basal cell carcinoma,1
1,acne,17,dermatomyositis,1
1,acne,22,eczema,1
109,urticaria,90,rosacea,1
6,allergic contact dermatitis,43,keloid,1
6,allergic contact dermatitis,68,neutrophilic dermatoses,1
6,allergic contact dermatitis,73,pediculosis lids,1
6,allergic contact dermatitis,84,port wine stain,1
6,allergic contact dermatitis,92,scabies,1
7,aplasia cutis,28,erythema multiforme,1
7,aplasia cutis,41,juvenile xanthogranuloma,1
7,aplasia cutis,60,mycosis fungoides,1
7,aplasia cutis,73,pediculosis lids,1
7,aplasia cutis,75,photodermatoses,1
7,aplasia cutis,92,scabies,1
11,behcets disease,29,erythema nodosum,1
8,basal cell carcinoma,15,dariers disease,1
5,actinic keratosis,60,mycosis fungoides,1
8,basal cell carcinoma,45,langerhans cell histiocytosis,1
8,basal cell carcinoma,68,neutrophilic dermatoses,1
8,basal cell carcinoma,76,pilar cyst,1
8,basal cell carcinoma,77,pilomatricoma,1
8,basal cell carcinoma,85,prurigo nodularis,1
8,basal cell carcinoma,89,rhinophyma,1
9,basal cell carcinoma morpheiform,7,aplasia cutis,1
9,basal cell carcinoma morpheiform,8,basal cell carcinoma,1
9,basal cell carcinoma morpheiform,46,lentigo maligna,1
9,basal cell carcinoma morpheiform,52,lupus subacute,1
9,basal cell carcinoma morpheiform,96,seborrheic keratosis,1
15,dariers disease,36,hailey hailey disease,1
8,basal cell carcinoma,40,incontinentia pigmenti,1
12,calcinosis cutis,52,lupus subacute,1
12,calcinosis cutis,69,nevocytic nevus,1
12,calcinosis cutis,93,scleroderma,1
12,calcinosis cutis,94,scleromyxedema,1
12,calcinosis cutis,98,squamous cell carcinoma,1
13,cheilitis,6,allergic contact dermatitis,1
13,cheilitis,33,fordyce spots,1
6,allergic contact dermatitis,53,lyme disease,1
13,cheilitis,51,lupus erythematosus,1
13,cheilitis,58,mucinosis,1
13,cheilitis,66,neurofibromatosis,1
13,cheilitis,85,prurigo nodularis,1
6,allergic contact dermatitis,63,necrobiosis lipoidica,1
14,congenital nevus,43,keloid,1
14,congenital nevus,98,squamous cell carcinoma,1
15,dariers disease,5,actinic keratosis,1
15,dariers disease,17,dermatomyositis,1
15,dariers disease,18,disseminated actinic porokeratosis,1
15,dariers disease,19,drug eruption,1
15,dariers disease,22,eczema,1
15,dariers disease,28,erythema multiforme,1
15,dariers disease,33,fordyce spots,1
13,cheilitis,48,lichen planus,1
6,allergic contact dermatitis,55,malignant melanoma,1
6,allergic contact dermatitis,56,melanoma,1
6,allergic contact dermatitis,60,mycosis fungoides,1
14,congenital nevus,32,folliculitis,1
15,dariers disease,86,psoriasis,1
15,dariers disease,76,pilar cyst,1
15,dariers disease,54,lymphangioma,1
15,dariers disease,48,lichen planus,1
20,drug induced pigmentary changes,13,cheilitis,1
25,epidermolysis bullosa,113,xeroderma pigmentosum,1
26,erythema annulare centrifigum,19,drug eruption,1
26,erythema annulare centrifigum,53,lyme disease,1
26,erythema annulare centrifigum,60,mycosis fungoides,1
26,erythema annulare centrifigum,109,urticaria,1
27,erythema elevatum diutinum,8,basal cell carcinoma,1
27,erythema elevatum diutinum,58,mucinosis,1
10,becker nevus,66,neurofibromatosis,1
27,erythema elevatum diutinum,86,psoriasis,1
28,erythema multiforme,14,congenital nevus,1
28,erythema multiforme,19,drug eruption,1
28,erythema multiforme,32,folliculitis,1
28,erythema multiforme,52,lupus subacute,1
22,eczema,5,actinic keratosis,1
28,erythema multiforme,76,pilar cyst,1
28,erythema multiforme,79,pityriasis rosea,1
28,erythema multiforme,80,pityriasis rubra pilaris,1
28,erythema multiforme,101,striae,1
29,erythema nodosum,40,incontinentia pigmenti,1
29,erythema nodosum,75,photodermatoses,1
27,erythema elevatum diutinum,80,pityriasis rubra pilaris,1
25,epidermolysis bullosa,88,pyogenic granuloma,1
16,dermatofibroma,88,pyogenic granuloma,1
19,drug eruption,2,acne vulgaris,1
18,disseminated actinic porokeratosis,78,pityriasis lichenoides chronica,1
18,disseminated actinic porokeratosis,40,incontinentia pigmenti,1
17,dermatomyositis,105,telangiectases,1
17,dermatomyositis,90,rosacea,1
17,dermatomyositis,86,psoriasis,1
17,dermatomyositis,80,pityriasis rubra pilaris,1
10,becker nevus,78,pityriasis lichenoides chronica,1
17,dermatomyositis,72,paronychia,1
17,dermatomyositis,52,lupus subacute,1
15,dariers disease,95,seborrheic dermatitis,1
17,dermatomyositis,32,folliculitis,1
17,dermatomyositis,31,fixed eruptions,1
17,dermatomyositis,29,erythema nodosum,1
17,dermatomyositis,22,eczema,1
19,drug eruption,23,ehlers danlos syndrome,1
16,dermatofibroma,78,pityriasis lichenoides chronica,1
16,dermatofibroma,55,malignant melanoma,1
16,dermatofibroma,51,lupus erythematosus,1
16,dermatofibroma,32,folliculitis,1
16,dermatofibroma,28,erythema multiforme,1
16,dermatofibroma,5,actinic keratosis,1
15,dariers disease,113,xeroderma pigmentosum,1
15,dariers disease,104,syringoma,1
17,dermatomyositis,51,lupus erythematosus,1
24,epidermal nevus,86,psoriasis,1
24,epidermal nevus,98,squamous cell carcinoma,1
24,epidermal nevus,109,urticaria,1
25,epidermolysis bullosa,13,cheilitis,1
25,epidermolysis bullosa,23,ehlers danlos syndrome,1
25,epidermolysis bullosa,28,erythema multiforme,1
25,epidermolysis bullosa,33,fordyce spots,1
25,epidermolysis bullosa,64,nematode infection,1
25,epidermolysis bullosa,68,neutrophilic dermatoses,1
25,epidermolysis bullosa,80,pityriasis rubra pilaris,1
24,epidermal nevus,6,allergic contact dermatitis,1
112,xanthomas,113,xeroderma pigmentosum,1
29,erythema nodosum,91,sarcoidosis,1
1,acne,32,folliculitis,1
4,acrodermatitis enteropathica,17,dermatomyositis,1
4,acrodermatitis enteropathica,32,folliculitis,1
4,acrodermatitis enteropathica,64,nematode infection,1
4,acrodermatitis enteropathica,90,rosacea,1
4,acrodermatitis enteropathica,98,squamous cell carcinoma,1
5,actinic keratosis,6,allergic contact dermatitis,1
5,actinic keratosis,8,basal cell carcinoma,1
5,actinic keratosis,17,dermatomyositis,1
5,actinic keratosis,32,folliculitis,1
5,actinic keratosis,45,langerhans cell histiocytosis,1
5,actinic keratosis,48,lichen planus,1
113,xeroderma pigmentosum,48,lichen planus,1
30,factitial dermatitis,32,folliculitis,1
30,factitial dermatitis,63,necrobiosis lipoidica,1
30,factitial dermatitis,75,photodermatoses,1
30,factitial dermatitis,91,sarcoidosis,1
30,factitial dermatitis,99,stasis edema,1
31,fixed eruptions,0,acanthosis nigricans,1
31,fixed eruptions,2,acne vulgaris,1
28,erythema multiforme,53,lyme disease,1
22,eczema,23,ehlers danlos syndrome,1
22,eczema,29,erythema nodosum,1
22,eczema,39,ichthyosis vulgaris,1
22,eczema,47,lichen amyloidosis,1
24,epidermal nevus,70,nevus sebaceous of jadassohn,1
22,eczema,63,necrobiosis lipoidica,1
22,eczema,75,photodermatoses,1
22,eczema,91,sarcoidosis,1
22,eczema,93,scleroderma,1
22,eczema,105,telangiectases,1
22,eczema,109,urticaria,1
23,ehlers danlos syndrome,43,keloid,1
23,ehlers danlos syndrome,56,melanoma,1
23,ehlers danlos syndrome,86,psoriasis,1
25,epidermolysis bullosa,86,psoriasis,1
24,epidermal nevus,16,dermatofibroma,1
24,epidermal nevus,40,incontinentia pigmenti,1
24,epidermal nevus,64,nematode infection,1
22,eczema,48,lichen planus,1
35,granuloma pyogenic,59,mucous cyst,1
35,granuloma pyogenic,64,nematode infection,1
