class_id,disease,support,correct,incorrect,accuracy,error_rate
41,juvenile xanthogranuloma,22,10,12,0.4545454545454545,0.5454545454545454
42,kaposi sarcoma,21,11,10,0.5238095238095238,0.4761904761904761
43,keloid,22,16,6,0.7272727272727273,0.2727272727272727
44,keratosis pilaris,12,2,10,0.1666666666666666,0.8333333333333334
45,langerhans cell histiocytosis,9,6,3,0.6666666666666666,0.3333333333333333
46,lentigo maligna,13,8,5,0.6153846153846154,0.3846153846153846
47,lichen amyloidosis,11,6,5,0.5454545454545454,0.4545454545454546
48,lichen planus,74,37,37,0.5,0.5
49,lichen simplex,14,8,6,0.5714285714285714,0.4285714285714286
50,livedo reticularis,9,5,4,0.5555555555555556,0.4444444444444444
51,lupus erythematosus,62,29,33,0.4677419354838709,0.532258064516129
52,lupus subacute,16,1,15,0.0625,0.9375
53,lyme disease,19,11,8,0.5789473684210527,0.4210526315789473
54,lymphangioma,14,2,12,0.1428571428571428,0.8571428571428572
55,malignant melanoma,17,4,13,0.2352941176470588,0.7647058823529411
56,melanoma,40,12,28,0.3,0.7
57,milia,17,6,11,0.3529411764705882,0.6470588235294117
58,mucinosis,13,4,9,0.3076923076923077,0.6923076923076923
59,mucous cyst,13,4,9,0.3076923076923077,0.6923076923076923
60,mycosis fungoides,27,11,16,0.4074074074074074,0.5925925925925926
61,myiasis,9,4,5,0.4444444444444444,0.5555555555555556
62,naevus comedonicus,10,5,5,0.5,0.5
63,necrobiosis lipoidica,18,11,7,0.6111111111111112,0.3888888888888888
64,nematode infection,38,29,9,0.7631578947368421,0.2368421052631578
65,neurodermatitis,11,0,11,0.0,1.0
66,neurofibromatosis,27,14,13,0.5185185185185185,0.4814814814814815
67,neurotic excoriations,11,2,9,0.1818181818181818,0.8181818181818181
68,neutrophilic dermatoses,55,30,25,0.5454545454545454,0.4545454545454546
69,nevocytic nevus,12,4,8,0.3333333333333333,0.6666666666666667
70,nevus sebaceous of jadassohn,14,2,12,0.1428571428571428,0.8571428571428572
71,papilomatosis confluentes and reticulate,23,20,3,0.8695652173913043,0.1304347826086956
72,paronychia,8,2,6,0.25,0.75
73,pediculosis lids,22,20,2,0.9090909090909092,0.0909090909090909
74,perioral dermatitis,9,2,7,0.2222222222222222,0.7777777777777778
75,photodermatoses,51,12,39,0.2352941176470588,0.7647058823529411
76,pilar cyst,14,6,8,0.4285714285714285,0.5714285714285714
77,pilomatricoma,8,3,5,0.375,0.625
78,pityriasis lichenoides chronica,10,7,3,0.7,0.3
79,pityriasis rosea,28,16,12,0.5714285714285714,0.4285714285714286
80,pityriasis rubra pilaris,41,35,6,0.8536585365853658,0.1463414634146341
81,porokeratosis actinic,27,22,5,0.8148148148148148,0.1851851851851852
82,porokeratosis of mibelli,11,5,6,0.4545454545454545,0.5454545454545454
83,porphyria,19,4,15,0.2105263157894736,0.7894736842105263
84,port wine stain,9,2,7,0.2222222222222222,0.7777777777777778
85,prurigo nodularis,25,18,7,0.72,0.28
86,psoriasis,99,47,52,0.4747474747474747,0.5252525252525253
87,pustular psoriasis,8,1,7,0.125,0.875
88,pyogenic granuloma,18,3,15,0.1666666666666666,0.8333333333333334
89,rhinophyma,14,10,4,0.7142857142857143,0.2857142857142857
90,rosacea,15,3,12,0.2,0.8
91,sarcoidosis,51,16,35,0.3137254901960784,0.6862745098039216
92,scabies,51,30,21,0.5882352941176471,0.4117647058823529
93,scleroderma,47,14,33,0.2978723404255319,0.7021276595744681
94,scleromyxedema,15,7,8,0.4666666666666667,0.5333333333333333
95,seborrheic dermatitis,19,9,10,0.4736842105263157,0.5263157894736843
96,seborrheic keratosis,11,2,9,0.1818181818181818,0.8181818181818181
97,solid cystic basal cell carcinoma,9,1,8,0.1111111111111111,0.8888888888888888
