disease,support,precision,recall,f1,class_id_for_mapping,disease_name,display_disease
class_113,11.0,0.3684210526315789,0.6363636363636364,0.4666666666666667,113,xeroderma pigmentosum,xeroderma pigmentosum
class_51,62.0,0.4393939393939394,0.4677419354838709,0.453125,51,lupus erythematosus,lupus erythematosus
class_86,99.0,0.4311926605504587,0.4747474747474747,0.4519230769230769,86,psoriasis,psoriasis
class_41,22.0,0.4347826086956521,0.4545454545454545,0.4444444444444444,41,juvenile xanthogranuloma,juvenile xanthogranuloma
class_12,12.0,0.6666666666666666,0.3333333333333333,0.4444444444444444,12,calcinosis cutis,calcinosis cutis
class_82,11.0,0.4166666666666667,0.4545454545454545,0.4347826086956521,82,porokeratosis of mibelli,porokeratosis of mibelli
class_38,15.0,0.4615384615384615,0.4,0.4285714285714285,38,hidradenitis,hidradenitis
class_95,19.0,0.391304347826087,0.4736842105263157,0.4285714285714285,95,seborrheic dermatitis,seborrheic dermatitis
class_109,23.0,0.3529411764705882,0.5217391304347826,0.4210526315789473,109,urticaria,urticaria
class_16,12.0,0.4166666666666667,0.4166666666666667,0.4166666666666667,16,dermatofibroma,dermatofibroma
class_8,70.0,0.4307692307692308,0.4,0.4148148148148148,8,basal cell carcinoma,basal cell carcinoma
class_76,14.0,0.4,0.4285714285714285,0.4137931034482758,76,pilar cyst,pilar cyst
class_14,10.0,0.4,0.4,0.4,14,congenital nevus,congenital nevus
class_69,12.0,0.5,0.3333333333333333,0.4,69,nevocytic nevus,nevocytic nevus
class_53,19.0,0.2894736842105263,0.5789473684210527,0.3859649122807017,53,lyme disease,lyme disease
class_103,18.0,0.3103448275862069,0.5,0.3829787234042553,103,superficial spreading melanoma ssm,superficial spreading melanoma ssm
class_59,13.0,0.5,0.3076923076923077,0.3809523809523809,59,mucous cyst,mucous cyst
class_58,13.0,0.5,0.3076923076923077,0.3809523809523809,58,mucinosis,mucinosis
class_40,15.0,0.3181818181818182,0.4666666666666667,0.3783783783783784,40,incontinentia pigmenti,incontinentia pigmenti
class_28,35.0,0.3260869565217391,0.4285714285714285,0.3703703703703703,28,erythema multiforme,erythema multiforme
class_34,32.0,0.5294117647058824,0.28125,0.3673469387755102,34,granuloma annulare,granuloma annulare
class_6,64.0,0.3478260869565217,0.375,0.3609022556390977,6,allergic contact dermatitis,allergic contact dermatitis
class_60,27.0,0.3235294117647059,0.4074074074074074,0.360655737704918,60,mycosis fungoides,mycosis fungoides
class_77,8.0,0.3333333333333333,0.375,0.3529411764705882,77,pilomatricoma,pilomatricoma
class_11,8.0,0.3333333333333333,0.375,0.3529411764705882,11,behcets disease,behcets disease
class_7,10.0,0.3076923076923077,0.4,0.3478260869565217,7,aplasia cutis,aplasia cutis
class_29,11.0,0.2777777777777778,0.4545454545454545,0.3448275862068966,29,erythema nodosum,erythema nodosum
class_93,47.0,0.3684210526315789,0.2978723404255319,0.3294117647058823,93,scleroderma,scleroderma
class_56,40.0,0.3636363636363636,0.3,0.3287671232876712,56,melanoma,melanoma
class_91,51.0,0.3333333333333333,0.3137254901960784,0.3232323232323232,91,sarcoidosis,sarcoidosis
class_110,17.0,0.3333333333333333,0.2941176470588235,0.3125,110,urticaria pigmentosa,urticaria pigmentosa
class_31,18.0,0.3571428571428571,0.2777777777777778,0.3125,31,fixed eruptions,fixed eruptions
class_67,11.0,1.0,0.1818181818181818,0.3076923076923077,67,neurotic excoriations,neurotic excoriations
class_72,8.0,0.4,0.25,0.3076923076923077,72,paronychia,paronychia
class_5,26.0,0.3076923076923077,0.3076923076923077,0.3076923076923077,5,actinic keratosis,actinic keratosis
class_19,30.0,0.3,0.3,0.3,19,drug eruption,drug eruption
class_83,19.0,0.5,0.2105263157894736,0.2962962962962963,83,porphyria,porphyria
