disease,best_group,best_accuracy,worst_group,worst_accuracy,accuracy_gap,accuracy_gap_pp,groups_available,total_support,robust_disparity
allergic contact dermatitis,Unknown,1.0,Light,0.282051282051282,0.7179487179487181,71.79487179487181,4,64,True
seborrheic dermatitis,Medium,0.7142857142857143,Dark,0.0,0.7142857142857143,71.42857142857143,3,19,False
hidradenitis,Medium,0.7142857142857143,Dark,0.0,0.7142857142857143,71.42857142857143,3,15,False
acne vulgaris,Medium,0.7142857142857143,Dark,0.0,0.7142857142857143,71.42857142857143,3,51,True
mycosis fungoides,Medium,0.7,Dark,0.0,0.7,70.0,4,27,True
lichen planus,Medium,0.6774193548387096,Unknown,0.0,0.6774193548387096,67.74193548387096,4,74,True
basal cell carcinoma,Unknown,1.0,Light,0.3333333333333333,0.6666666666666667,66.66666666666667,4,70,True
naevus comedonicus,Dark,1.0,Light,0.3333333333333333,0.6666666666666667,66.66666666666667,3,10,False
halo nevus,Dark,1.0,Light,0.3333333333333333,0.6666666666666667,66.66666666666667,3,11,False
epidermal nevus,Medium,0.6666666666666666,Dark,0.0,0.6666666666666666,66.66666666666666,3,14,False
acrodermatitis enteropathica,Medium,0.6666666666666666,Dark,0.0,0.6666666666666666,66.66666666666666,3,14,False
lentigo maligna,Light,0.6666666666666666,Unknown,0.0,0.6666666666666666,66.66666666666666,3,13,False
vitiligo,Medium,0.6363636363636364,Unknown,0.0,0.6363636363636364,63.63636363636363,4,24,True
juvenile xanthogranuloma,Medium,0.6,Dark,0.0,0.6,60.0,3,22,True
acanthosis nigricans,Medium,0.8333333333333334,Dark,0.25,0.5833333333333334,58.333333333333336,3,13,False
congenital nevus,Medium,0.75,Light,0.1666666666666666,0.5833333333333334,58.333333333333336,2,10,False
disseminated actinic porokeratosis,Medium,1.0,Light,0.4285714285714285,0.5714285714285715,57.14285714285715,2,9,False
superficial spreading melanoma ssm,Light,0.5714285714285714,Unknown,0.0,0.5714285714285714,57.14285714285714,3,18,False
