class_id,disease,support,correct,incorrect,accuracy,error_rate
48,class_48,74,37,37,0.5,0.5
49,class_49,14,8,6,0.5714285714285714,0.4285714285714286
50,class_50,9,5,4,0.5555555555555556,0.4444444444444444
51,class_51,62,29,33,0.46774193548387094,0.532258064516129
52,class_52,16,1,15,0.0625,0.9375
53,class_53,19,11,8,0.5789473684210527,0.42105263157894735
54,class_54,14,2,12,0.14285714285714285,0.8571428571428572
55,class_55,17,4,13,0.23529411764705882,0.7647058823529411
56,class_56,40,12,28,0.3,0.7
57,class_57,17,6,11,0.35294117647058826,0.6470588235294117
58,class_58,13,4,9,0.3076923076923077,0.6923076923076923
59,class_59,13,4,9,0.3076923076923077,0.6923076923076923
60,class_60,27,11,16,0.4074074074074074,0.5925925925925926
61,class_61,9,4,5,0.4444444444444444,0.5555555555555556
62,class_62,10,5,5,0.5,0.5
63,class_63,18,11,7,0.6111111111111112,0.38888888888888884
64,class_64,38,29,9,0.7631578947368421,0.23684210526315785
65,class_65,11,0,11,0.0,1.0
66,class_66,27,14,13,0.5185185185185185,0.4814814814814815
67,class_67,11,2,9,0.18181818181818182,0.8181818181818181
68,class_68,55,30,25,0.5454545454545454,0.4545454545454546
69,class_69,12,4,8,0.3333333333333333,0.6666666666666667
70,class_70,14,2,12,0.14285714285714285,0.8571428571428572
71,class_71,23,20,3,0.8695652173913043,0.13043478260869568
72,class_72,8,2,6,0.25,0.75
73,class_73,22,20,2,0.9090909090909091,0.09090909090909094
74,class_74,9,2,7,0.2222222222222222,0.7777777777777778
75,class_75,51,12,39,0.23529411764705882,0.7647058823529411
76,class_76,14,6,8,0.42857142857142855,0.5714285714285714
77,class_77,8,3,5,0.375,0.625
78,class_78,10,7,3,0.7,0.30000000000000004
79,class_79,28,16,12,0.5714285714285714,0.4285714285714286
80,class_80,41,35,6,0.8536585365853658,0.14634146341463417
81,class_81,27,22,5,0.8148148148148148,0.18518518518518523
82,class_82,11,5,6,0.45454545454545453,0.5454545454545454
83,class_83,19,4,15,0.21052631578947367,0.7894736842105263
84,class_84,9,2,7,0.2222222222222222,0.7777777777777778
85,class_85,25,18,7,0.72,0.28
86,class_86,99,47,52,0.47474747474747475,0.5252525252525253
87,class_87,8,1,7,0.125,0.875
88,class_88,18,3,15,0.16666666666666666,0.8333333333333334
89,class_89,14,10,4,0.7142857142857143,0.2857142857142857
90,class_90,15,3,12,0.2,0.8
91,class_91,51,16,35,0.3137254901960784,0.6862745098039216
92,class_92,51,30,21,0.5882352941176471,0.4117647058823529
93,class_93,47,14,33,0.2978723404255319,0.7021276595744681
94,class_94,15,7,8,0.4666666666666667,0.5333333333333333
95,class_95,19,9,10,0.47368421052631576,0.5263157894736843
96,class_96,11,2,9,0.18181818181818182,0.8181818181818181
97,class_97,9,1,8,0.1111111111111111,0.8888888888888888
98,class_98,88,41,47,0.4659090909090909,0.5340909090909092
