class_id,disease,best_group_accuracy,worst_group_accuracy,accuracy_gap,accuracy_gap_percentage_points
92,scabies,0.75,0.3125,0.4375,43.75
91,sarcoidosis,0.4375,0.0,0.4375,43.75
94,scleromyxedema,0.625,0.2,0.425,42.5
98,squamous cell carcinoma,0.6896551724137931,0.2857142857142857,0.4039408866995074,40.39408866995075
36,hailey hailey disease,1.0,0.6,0.4,40.0
75,photodermatoses,0.4,0.0,0.4,40.0
54,lymphangioma,0.4,0.0,0.4,40.0
10,becker nevus,0.7142857142857143,0.3333333333333333,0.380952380952381,38.0952380952381
26,erythema annulare centrifigum,0.6666666666666666,0.2857142857142857,0.3809523809523809,38.095238095238095
58,mucinosis,0.5,0.1428571428571428,0.3571428571428571,35.714285714285715
104,syringoma,0.8571428571428571,0.5,0.3571428571428571,35.71428571428571
50,livedo reticularis,0.75,0.4,0.35,35.0
108,tungiasis,1.0,0.6666666666666666,0.3333333333333333,33.333333333333336
73,pediculosis lids,1.0,0.6666666666666666,0.3333333333333333,33.333333333333336
32,folliculitis,0.8333333333333334,0.5,0.3333333333333333,33.333333333333336
23,ehlers danlos syndrome,1.0,0.6666666666666666,0.3333333333333333,33.333333333333336
21,dyshidrotic eczema,0.3333333333333333,0.0,0.3333333333333333,33.33333333333333
72,paronychia,0.3333333333333333,0.0,0.3333333333333333,33.33333333333333
107,tuberous sclerosis,0.6666666666666666,0.3333333333333333,0.3333333333333333,33.33333333333333
84,port wine stain,0.3333333333333333,0.0,0.3333333333333333,33.33333333333333
100,stevens johnson syndrome,0.3333333333333333,0.0,0.3333333333333333,33.33333333333333
101,striae,0.3333333333333333,0.0,0.3333333333333333,33.33333333333333
79,pityriasis rosea,0.6875,0.375,0.3125,31.25
83,porphyria,0.3,0.0,0.3,30.0
68,neutrophilic dermatoses,0.7222222222222222,0.4285714285714285,0.2936507936507936,29.365079365079367
96,seborrheic keratosis,0.2857142857142857,0.0,0.2857142857142857,28.57142857142857
74,perioral dermatitis,0.2857142857142857,0.0,0.2857142857142857,28.57142857142857
82,porokeratosis of mibelli,0.6,0.3333333333333333,0.2666666666666666,26.666666666666668
12,calcinosis cutis,0.5,0.25,0.25,25.0
71,papilomatosis confluentes and reticulate,1.0,0.75,0.25,25.0
49,lichen simplex,0.75,0.5,0.25,25.0
39,ichthyosis vulgaris,0.25,0.0,0.25,25.0
70,nevus sebaceous of jadassohn,0.2222222222222222,0.0,0.2222222222222222,22.22222222222222
33,fordyce spots,0.7142857142857143,0.5,0.2142857142857143,21.42857142857143
43,keloid,0.8333333333333334,0.625,0.2083333333333333,20.833333333333336
89,rhinophyma,0.8333333333333334,0.625,0.2083333333333333,20.833333333333336
31,fixed eruptions,0.375,0.1666666666666666,0.2083333333333333,20.833333333333336
69,nevocytic nevus,0.5,0.3,0.2,20.0
87,pustular psoriasis,0.2,0.0,0.2,20.0
102,sun damaged skin,0.2,0.0,0.2,20.0
81,porokeratosis actinic,1.0,0.8,0.1999999999999999,20.0
22,eczema,0.1764705882352941,0.0,0.1764705882352941,17.647058823529413
77,pilomatricoma,0.5,0.3333333333333333,0.1666666666666666,16.666666666666668
19,drug eruption,0.4,0.25,0.15,15.000000000000002
3,acquired autoimmune bullous diseaseherpes gestationis,0.1428571428571428,0.0,0.1428571428571428,14.285714285714285
97,solid cystic basal cell carcinoma,0.1428571428571428,0.0,0.1428571428571428,14.285714285714285
86,psoriasis,0.5384615384615384,0.4,0.1384615384615384,13.84615384615384
53,lyme disease,0.6666666666666666,0.5384615384615384,0.1282051282051282,12.82051282051282
9,basal cell carcinoma morpheiform,0.125,0.0,0.125,12.5
78,pityriasis lichenoides chronica,0.75,0.6666666666666666,0.0833333333333333,8.333333333333337
29,erythema nodosum,0.5,0.4285714285714285,0.0714285714285714,7.142857142857145
90,rosacea,0.25,0.1818181818181818,0.0681818181818181,6.8181818181818175
44,keratosis pilaris,0.2,0.1428571428571428,0.0571428571428571,5.714285714285716
40,incontinentia pigmenti,0.5,0.4444444444444444,0.0555555555555555,5.555555555555558
67,neurotic excoriations,0.2,0.1666666666666666,0.0333333333333333,3.3333333333333357
16,dermatofibroma,0.4285714285714285,0.4,0.0285714285714285,2.8571428571428523
15,dariers disease,0.0,0.0,0.0,0.0
25,epidermolysis bullosa,0.0,0.0,0.0,0.0
20,drug induced pigmentary changes,0.0,0.0,0.0,0.0
65,neurodermatitis,0.0,0.0,0.0,0.0
112,xanthomas,0.0,0.0,0.0,0.0
