class_id,disease,precision,recall,f1-score,support
91,class_91,0.3333333333333333,0.3137254901960784,0.3232323232323232,51.0
92,class_92,0.5882352941176471,0.5882352941176471,0.5882352941176471,51.0
93,class_93,0.3684210526315789,0.2978723404255319,0.3294117647058823,47.0
94,class_94,0.5384615384615384,0.4666666666666667,0.5,15.0
95,class_95,0.391304347826087,0.4736842105263157,0.4285714285714285,19.0
96,class_96,0.25,0.1818181818181818,0.2105263157894736,11.0
97,class_97,0.1666666666666666,0.1111111111111111,0.1333333333333333,9.0
98,class_98,0.5125,0.4659090909090909,0.4880952380952381,88.0
99,class_99,0.1111111111111111,0.1111111111111111,0.1111111111111111,9.0
100,class_100,0.2777777777777778,0.2941176470588235,0.2857142857142857,17.0
101,class_101,0.25,0.2,0.2222222222222222,10.0
102,class_102,0.5,0.1111111111111111,0.1818181818181818,9.0
103,class_103,0.3103448275862069,0.5,0.3829787234042553,18.0
104,class_104,0.6842105263157895,0.7222222222222222,0.7027027027027027,18.0
105,class_105,0.3,0.1666666666666666,0.2142857142857142,18.0
106,class_106,0.25,0.1,0.1428571428571428,10.0
107,class_107,0.55,0.5238095238095238,0.5365853658536586,21.0
108,class_108,0.8461538461538461,0.9565217391304348,0.8979591836734694,23.0
109,class_109,0.3529411764705882,0.5217391304347826,0.4210526315789473,23.0
110,class_110,0.3333333333333333,0.2941176470588235,0.3125,17.0
111,class_111,0.6190476190476191,0.5416666666666666,0.5777777777777777,24.0
112,class_112,0.0,0.0,0.0,8.0
113,class_113,0.3684210526315789,0.6363636363636364,0.4666666666666667,11.0
