class_id,disease,best_group_accuracy,worst_group_accuracy,accuracy_gap,accuracy_gap_percentage_points
100,class_100,0.3333333333333333,0.0,0.3333333333333333,33.33333333333333
101,class_101,0.3333333333333333,0.0,0.3333333333333333,33.33333333333333
79,class_79,0.6875,0.375,0.3125,31.25
83,class_83,0.3,0.0,0.3,30.0
68,class_68,0.7222222222222222,0.42857142857142855,0.29365079365079366,29.365079365079367
96,class_96,0.2857142857142857,0.0,0.2857142857142857,28.57142857142857
74,class_74,0.2857142857142857,0.0,0.2857142857142857,28.57142857142857
82,class_82,0.6,0.3333333333333333,0.26666666666666666,26.666666666666668
12,class_12,0.5,0.25,0.25,25.0
71,class_71,1.0,0.75,0.25,25.0
49,class_49,0.75,0.5,0.25,25.0
39,class_39,0.25,0.0,0.25,25.0
70,class_70,0.2222222222222222,0.0,0.2222222222222222,22.22222222222222
33,class_33,0.7142857142857143,0.5,0.2142857142857143,21.42857142857143
43,class_43,0.8333333333333334,0.625,0.20833333333333337,20.833333333333336
89,class_89,0.8333333333333334,0.625,0.20833333333333337,20.833333333333336
31,class_31,0.375,0.16666666666666666,0.20833333333333334,20.833333333333336
69,class_69,0.5,0.3,0.2,20.0
87,class_87,0.2,0.0,0.2,20.0
102,class_102,0.2,0.0,0.2,20.0
81,class_81,1.0,0.8,0.19999999999999996,19.999999999999996
22,class_22,0.17647058823529413,0.0,0.17647058823529413,17.647058823529413
77,class_77,0.5,0.3333333333333333,0.16666666666666669,16.666666666666668
19,class_19,0.4,0.25,0.15000000000000002,15.000000000000002
3,class_3,0.14285714285714285,0.0,0.14285714285714285,14.285714285714285
97,class_97,0.14285714285714285,0.0,0.14285714285714285,14.285714285714285
86,class_86,0.5384615384615384,0.4,0.1384615384615384,13.846153846153841
53,class_53,0.6666666666666666,0.5384615384615384,0.1282051282051282,12.82051282051282
9,class_9,0.125,0.0,0.125,12.5
78,class_78,0.75,0.6666666666666666,0.08333333333333337,8.333333333333337
29,class_29,0.5,0.42857142857142855,0.07142857142857145,7.142857142857145
90,class_90,0.25,0.18181818181818182,0.06818181818181818,6.8181818181818175
44,class_44,0.2,0.14285714285714285,0.05714285714285716,5.714285714285716
40,class_40,0.5,0.4444444444444444,0.05555555555555558,5.555555555555558
67,class_67,0.2,0.16666666666666666,0.033333333333333354,3.3333333333333353
16,class_16,0.42857142857142855,0.4,0.028571428571428525,2.8571428571428523
15,class_15,0.0,0.0,0.0,0.0
25,class_25,0.0,0.0,0.0,0.0
20,class_20,0.0,0.0,0.0,0.0
65,class_65,0.0,0.0,0.0,0.0
112,class_112,0.0,0.0,0.0,0.0
